player1,player1_race,player2,player2_race,map,game_type,ladder,file,game_version,region,game_length,winrace,loser,loser_race,winner_name
Chimichanga,Zerg,OKOKOK,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (14).SC2Replay,88500,us,0:13:36,Zerg,Chimichanga,Zerg,OKOKOK
OKOKOK,Zerg,Mapogu,Terran,Waterfall,1v1,True,Waterfall (8).SC2Replay,88500,us,0:12:37,Zerg,Mapogu,Terran,OKOKOK
ViBE,Zerg,ByeonGgEo,Protoss,Beckett Industries LE,1v1,True,Diamond 1 - ZvP - Game 22.SC2Replay,84643,us,0:02:33,Zerg,ByeonGgEo,Protoss,ViBE
ZergRhythm,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 3 - ZvZ - Game 12.SC2Replay,84643,us,0:09:59,Zerg,ZergRhythm,Zerg,ViBE
ZUNZET,Zerg,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvZ - Game 25.SC2Replay,84643,us,0:06:39,Zerg,ZUNZET,Zerg,ViBE
deepfear,Zerg,OKOKOK,Zerg,Equilibrium LE,1v1,True,Equilibrium LE.SC2Replay,91115,us,0:18:44,Zerg,deepfear,Zerg,OKOKOK
OKOKOK,Zerg,Qhuengi,Zerg,Inside and Out,1v1,True,Inside and Out (3).SC2Replay,88500,us,0:05:55,Zerg,Qhuengi,Zerg,OKOKOK
OKOKOK,Zerg,orcrine,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (2).SC2Replay,88500,us,0:07:40,Protoss,OKOKOK,Zerg,orcrine
OKOKOK,Zerg,llllllllllll,Terran,Data-C,1v1,True,Data-C (3).SC2Replay,88500,us,0:26:28,Terran,OKOKOK,Zerg,llllllllllll
ViBE,Zerg,abe,Zerg,Romanticide LE,1v1,True,Diamond 2 - ZvZ - Game 21.SC2Replay,84643,us,0:09:16,Zerg,abe,Zerg,ViBE
Cin,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 21.SC2Replay,84643,us,0:13:39,Zerg,Cin,Zerg,ViBE
Geburah,Terran,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (5).SC2Replay,88500,us,0:13:12,Terran,OKOKOK,Zerg,Geburah
gabrielo,Zerg,OKOKOK,Protoss,Stargazers,1v1,True,Stargazers (5).SC2Replay,88500,us,0:00:02,Zerg,OKOKOK,Protoss,gabrielo
SkinMilk,Zerg,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvZ - Game 16.SC2Replay,84643,us,0:10:50,Zerg,SkinMilk,Zerg,ViBE
Countersmell,Protoss,OKOKOK,Terran,Stargazers,1v1,True,Stargazers (7).SC2Replay,88500,us,0:11:44,Protoss,OKOKOK,Terran,Countersmell
FatalglorY,Protoss,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvP - Game 4.SC2Replay,84643,us,0:16:28,Zerg,FatalglorY,Protoss,ViBE
OKOKOK,Zerg,awS,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (3).SC2Replay,88500,us,0:06:25,Zerg,awS,Zerg,OKOKOK
ViBE,Zerg,YourWIFI,Terran,Romanticide LE,1v1,True,Diamond 3 - ZvT - Game 14.SC2Replay,84643,us,0:12:15,Zerg,YourWIFI,Terran,ViBE
OKOKOK,Terran,RedBrand,Protoss,Beckett Industries LE,1v1,True,Beckett Industries LE.SC2Replay,86383,us,0:11:15,Protoss,OKOKOK,Terran,RedBrand
OKOKOK,Zerg,IIIIIIIIIIII,Terran,Waterfall,1v1,True,Waterfall (12).SC2Replay,88500,us,0:14:00,Zerg,IIIIIIIIIIII,Terran,OKOKOK
OKOKOK,Zerg,Clutch,Zerg,Ancient Cistern LE,1v1,True,Doraste Ancient Cistern LE.SC2Replay,90136,us,0:12:11,Zerg,OKOKOK,Zerg,Clutch
OKOKOK,Zerg,schenry,Zerg,Moondance,1v1,True,Moondance.SC2Replay,88500,us,0:08:36,Zerg,schenry,Zerg,OKOKOK
ViBE,Zerg,Dyncommon,Terran,Romanticide LE,1v1,True,Diamond 3 - ZvT - Game 6.SC2Replay,84643,us,0:13:04,Zerg,Dyncommon,Terran,ViBE
MechItHappen,Terran,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvT - Game 8.SC2Replay,84643,us,0:18:55,Zerg,MechItHappen,Terran,ViBE
ViBE,Zerg,MonteCristo,Zerg,Lightshade LE,1v1,True,Diamond 2 - ZvZ - Game 14.SC2Replay,84643,us,0:04:54,Zerg,MonteCristo,Zerg,ViBE
OKOKOK,Zerg,Clutch,Zerg,Ancient Cistern LE,1v1,True,Ancient Cistern LE.SC2Replay,90136,us,0:12:11,Zerg,OKOKOK,Zerg,Clutch
ViBE,Zerg,DangerZone,Terran,Beckett Industries LE,1v1,True,Diamond 2 - ZvT - Game 20.SC2Replay,84643,us,0:34:58,Terran,ViBE,Zerg,DangerZone
ZackZapper,Zerg,OKOKOK,Zerg,Hardwire LE,1v1,True,Hardwire LE.SC2Replay,86383,us,0:00:02,Zerg,ZackZapper,Zerg,OKOKOK
sOrt,Zerg,OKOKOK,Zerg,Tropical Sacrifice,1v1,True,Tropical Sacrifice (2).SC2Replay,88500,us,0:10:09,Zerg,OKOKOK,Zerg,sOrt
RedDogRiz,Protoss,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 1 - ZvP - Game 14.SC2Replay,84643,us,0:06:34,Protoss,ViBE,Zerg,RedDogRiz
Revel,Zerg,OKOKOK,Zerg,NeoHumanity LE,1v1,True,NeoHumanity LE.SC2Replay,90136,us,0:04:36,Zerg,OKOKOK,Zerg,Revel
ShotUpInsuln,Protoss,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 1 - ZvP - Game 19.SC2Replay,84643,us,0:11:21,Zerg,ShotUpInsuln,Protoss,ViBE
ProtossBigot,Protoss,ViBE,Zerg,Blackburn LE,1v1,True,Diamond 3 - ZvP - Game 13.SC2Replay,84643,us,0:07:02,Zerg,ProtossBigot,Protoss,ViBE
Kibbler,Terran,ViBE,Zerg,Beckett Industries LE,1v1,True,Diamond 2 - ZvT - Game 19.SC2Replay,84643,us,0:06:27,Zerg,Kibbler,Terran,ViBE
OKOKOK,Terran,eidolon,Protoss,Tropical Sacrifice,1v1,True,Tropical Sacrifice (6).SC2Replay,88500,us,0:11:48,Terran,eidolon,Protoss,OKOKOK
Prodigy,Zerg,OKOKOK,Protoss,Altitude LE,1v1,True,Altitude LE.SC2Replay,90136,us,0:08:45,Zerg,OKOKOK,Protoss,Prodigy
DaGreenie,Protoss,OKOKOK,Zerg,Moondance,1v1,True,Moondance (6).SC2Replay,88500,us,0:13:43,Zerg,DaGreenie,Protoss,OKOKOK
OKOKOK,Zerg,Takuah,Protoss,Waterfall,1v1,True,Waterfall.SC2Replay,88500,us,0:16:52,Protoss,OKOKOK,Zerg,Takuah
Tyluk,Protoss,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (13).SC2Replay,88500,us,0:13:49,Protoss,OKOKOK,Zerg,Tyluk
OKOKOK,Zerg,gut,Zerg,Inside and Out,1v1,True,Inside and Out (11).SC2Replay,88500,us,0:04:54,Zerg,OKOKOK,Zerg,gut
Serenity,Zerg,OKOKOK,Protoss,Stargazers,1v1,True,Stargazers (4).SC2Replay,88500,us,0:14:40,Protoss,Serenity,Zerg,OKOKOK
OKOKOK,Zerg,Ghost,Terran,Cosmic Sapphire,1v1,True,Cosmic Sapphire (9).SC2Replay,88500,us,0:03:33,Zerg,Ghost,Terran,OKOKOK
ViBE,Zerg,jangens,Terran,Beckett Industries LE,1v1,True,Diamond 3 - ZvT - Game 11.SC2Replay,84643,us,0:05:02,Zerg,jangens,Terran,ViBE
llllllllllll,Terran,OKOKOK,Zerg,Stargazers,1v1,True,Stargazers (6).SC2Replay,88500,us,0:24:10,Terran,OKOKOK,Zerg,llllllllllll
ViBE,Zerg,BobStaMan,Zerg,Oxide LE,1v1,True,Diamond 2 - ZvZ - Game 24.SC2Replay,84643,us,0:10:38,Zerg,BobStaMan,Zerg,ViBE
Scuachi,Zerg,OKOKOK,Terran,Moondance,1v1,True,Moondance (14).SC2Replay,88500,us,0:05:27,Terran,Scuachi,Zerg,OKOKOK
HappyFeet,Zerg,OKOKOK,Zerg,NeoHumanity LE,1v1,True,NeoHumanity LE (2).SC2Replay,90136,us,0:14:05,Zerg,HappyFeet,Zerg,OKOKOK
ViBE,Zerg,AlexZugas,Terran,2000 Atmospheres LE,1v1,True,Diamond 1 - ZvT - Game 11.SC2Replay,84643,us,0:05:12,Zerg,AlexZugas,Terran,ViBE
OKOKOK,Terran,Maverik,Terran,Inside and Out,1v1,True,Inside and Out (8).SC2Replay,88500,us,0:13:34,Terran,Maverik,Terran,OKOKOK
OKOKOK,Terran,Megahertz,Protoss,Waterfall,1v1,True,Waterfall (7).SC2Replay,88500,us,0:18:06,Protoss,OKOKOK,Terran,Megahertz
OKOKOK,Zerg,IIIIIIIIIIII,Protoss,Tropical Sacrifice,1v1,True,Tropical Sacrifice (7).SC2Replay,88500,us,0:02:47,Protoss,OKOKOK,Zerg,IIIIIIIIIIII
OKOKOK,Protoss,Harry,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (8).SC2Replay,88500,us,0:04:00,Protoss,Harry,Protoss,OKOKOK
xXFierceXx,Terran,OKOKOK,Terran,Tropical Sacrifice,1v1,True,Tropical Sacrifice (10).SC2Replay,88500,us,0:16:28,Terran,xXFierceXx,Terran,OKOKOK
OKOKOK,Zerg,BioHazzerg,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (11).SC2Replay,88500,us,0:09:44,Zerg,OKOKOK,Zerg,BioHazzerg
stirfry,Zerg,OKOKOK,Zerg,Tropical Sacrifice,1v1,True,Tropical Sacrifice.SC2Replay,88500,us,0:03:21,Zerg,stirfry,Zerg,OKOKOK
ChocP,Terran,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvT - Game 17.SC2Replay,84643,us,0:11:28,Terran,ViBE,Zerg,ChocP
ViBE,Zerg,MACE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvZ - Game 9.SC2Replay,84643,us,0:09:57,Zerg,MACE,Zerg,ViBE
DarthPimpius,Terran,OKOKOK,Terran,Moondance,1v1,True,Moondance (15).SC2Replay,88500,us,0:04:55,Terran,OKOKOK,Terran,DarthPimpius
OKOKOK,Terran,Uber,Protoss,Tropical Sacrifice,1v1,True,Tropical Sacrifice (5).SC2Replay,88500,us,0:11:12,Terran,Uber,Protoss,OKOKOK
ViBE,Zerg,reanimation,Terran,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 17.SC2Replay,84643,us,0:21:16,Zerg,reanimation,Terran,ViBE
ViBE,Zerg,Smaug,Protoss,Blackburn LE,1v1,True,Diamond 3 - ZvP - Game 16.SC2Replay,84643,us,0:06:05,Zerg,Smaug,Protoss,ViBE
OKOKOK,Zerg,Ares,Zerg,Waterfall,1v1,True,Waterfall (10).SC2Replay,88500,us,0:05:36,Zerg,OKOKOK,Zerg,Ares
ViBE,Zerg,cGChrome,Zerg,Romanticide LE,1v1,True,Diamond 1 - ZvZ - Game 15.SC2Replay,84643,us,0:04:29,Zerg,cGChrome,Zerg,ViBE
Doomroca,Protoss,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 2 - ZvP - Game 25.SC2Replay,84643,us,0:17:37,Protoss,ViBE,Zerg,Doomroca
Bert,Protoss,ViBE,Zerg,Oxide LE,1v1,True,Diamond 2 - ZvP - Game 6.SC2Replay,84643,us,0:09:29,Zerg,Bert,Protoss,ViBE
OKOKOK,Zerg,DoeRaeMe,Terran,Inside and Out,1v1,True,Inside and Out (7).SC2Replay,88500,us,0:07:42,Zerg,DoeRaeMe,Terran,OKOKOK
pompesfunèb,Terran,OKOKOK,Terran,Stargazers,1v1,True,Stargazers (10).SC2Replay,88500,us,0:06:08,Terran,OKOKOK,Terran,pompesfunèb
Baneful,Protoss,OKOKOK,Terran,Moondance,1v1,True,Moondance (13).SC2Replay,88500,us,0:10:23,Terran,Baneful,Protoss,OKOKOK
OKOKOK,Terran,seenoevil,Protoss,Waterfall,1v1,True,Waterfall (16).SC2Replay,88500,us,0:13:54,Protoss,OKOKOK,Terran,seenoevil
SkinMilk,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 13.SC2Replay,84643,us,0:10:37,Zerg,SkinMilk,Zerg,ViBE
ViBE,Zerg,Dooties,Terran,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 5.SC2Replay,84643,us,0:11:53,Terran,ViBE,Zerg,Dooties
OKOKOK,Zerg,BaiLLiE,Protoss,Stargazers,1v1,True,Stargazers (9).SC2Replay,88500,us,0:19:17,Protoss,OKOKOK,Zerg,BaiLLiE
OKOKOK,Zerg,timoncito,Terran,Stargazers,1v1,True,Stargazers (2).SC2Replay,88500,us,0:17:53,Terran,OKOKOK,Zerg,timoncito
OKOKOK,Zerg,Xellows,Terran,Stargazers,1v1,True,Stargazers (3).SC2Replay,88500,us,0:11:31,Terran,OKOKOK,Zerg,Xellows
majorbacon,Protoss,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 2 - ZvP - Game 8.SC2Replay,84643,us,0:06:02,Zerg,majorbacon,Protoss,ViBE
MuNuKuKu,Zerg,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (4).SC2Replay,88500,us,0:06:37,Zerg,OKOKOK,Zerg,MuNuKuKu
OKOKOK,Terran,darentkx,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (12).SC2Replay,88500,us,0:19:31,Protoss,OKOKOK,Terran,darentkx
Smite,Terran,OKOKOK,Zerg,Data-C,1v1,True,Data-C.SC2Replay,88500,us,0:12:50,Terran,OKOKOK,Zerg,Smite
ViBE,Zerg,Vex,Terran,Oxide LE,1v1,True,Diamond 1 - ZvT - Game 24.SC2Replay,84643,us,0:15:58,Zerg,Vex,Terran,ViBE
OKOKOK,Terran,demangelo,Terran,Waterfall,1v1,True,Waterfall (14).SC2Replay,88500,us,0:23:49,Terran,demangelo,Terran,OKOKOK
OKOKOK,Zerg,WeBringHavoc,Terran,Data-C,1v1,True,Data-C (4).SC2Replay,88500,us,0:18:32,Zerg,WeBringHavoc,Terran,OKOKOK
OKOKOK,Zerg,SegaGenesis,Protoss,Moondance,1v1,True,Moondance (11).SC2Replay,88500,us,0:06:21,Protoss,OKOKOK,Zerg,SegaGenesis
ViBE,Zerg,Yoko,Protoss,Blackburn LE,1v1,True,Diamond 2 - ZvP - Game 26.SC2Replay,84643,us,0:10:14,Zerg,Yoko,Protoss,ViBE
OKOKOK,Terran,Meridius,Protoss,Inside and Out,1v1,True,Inside and Out (10).SC2Replay,88500,us,0:27:10,None,,,None
ZurieL,Terran,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvT - Game 3.SC2Replay,84643,us,0:10:42,Zerg,ZurieL,Terran,ViBE
OKOKOK,Zerg,GivhertheD,Zerg,Moondance,1v1,True,Moondance (3).SC2Replay,88500,us,0:00:06,Zerg,GivhertheD,Zerg,OKOKOK
OKOKOK,Zerg,Hero,Protoss,Royal Blood LE,1v1,True,Royal Blood LE (2).SC2Replay,90136,us,0:06:46,Protoss,OKOKOK,Zerg,Hero
OKOKOK,Zerg,Ourion,Protoss,Babylon LE,1v1,True,Babylon LE.SC2Replay,90870,us,0:10:34,Zerg,Ourion,Protoss,OKOKOK
SuppliedWing,Terran,OKOKOK,Protoss,Moondance,1v1,True,Moondance (8).SC2Replay,88500,us,0:06:29,Terran,OKOKOK,Protoss,SuppliedWing
OKOKOK,Zerg,YodaEater,Zerg,Data-C,1v1,True,Data-C (2).SC2Replay,88500,us,0:08:46,Zerg,OKOKOK,Zerg,YodaEater
Khaaaaaannnn,Zerg,OKOKOK,Zerg,Blackburn LE,1v1,True,Blackburn LE.SC2Replay,87702,us,0:07:30,Zerg,Khaaaaaannnn,Zerg,OKOKOK
LHoldit,Protoss,OKOKOK,Zerg,Inside and Out,1v1,True,Inside and Out (2).SC2Replay,88500,us,0:06:26,Protoss,OKOKOK,Zerg,LHoldit
